Channel              :,CH1,CH2
Frequency            :,2.507KHz,2.507KHz
Period               :,0.399ms,0.399ms
PK-PK                :,9.520V,3.320V
Average              :,-86.74mV,-56.71mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
179,3120.000000,1280.000000
180,3280.000000,1240.000000
181,3360.000000,1160.000000
182,3520.000000,1080.000000
183,3600.000000,1000.000000
184,3680.000000,960.000000
185,3760.000000,840.000000
186,3840.000000,760.000000
187,4000.000000,680.000000
188,4000.000000,600.000000
189,4080.000000,520.000000
190,4160.000000,440.000000
191,4160.000000,320.000000
192,4240.000000,240.000000
193,4240.000000,160.000000
194,4240.000000,80.000000
195,4160.000000,-40.000000
196,4160.000000,-120.000000
197,4080.000000,-200.000000
198,4000.000000,-280.000000
199,3840.000000,-400.000000
200,3760.000000,-440.000000
201,3520.000000,-520.000000
202,3360.000000,-600.000000
203,3120.000000,-680.000000
204,2880.000000,-760.000000
205,2640.000000,-840.000000
206,2400.000000,-920.000000
207,2080.000000,-1000.000000
208,1840.000000,-1040.000000
209,1600.000000,-1120.000000
210,1280.000000,-1200.000000
211,1040.000000,-1240.000000
212,800.000000,-1280.000000
213,480.000000,-1360.000000
214,240.000000,-1400.000000
215,0.000000,-1440.000000
216,-320.000000,-1480.000000
217,-560.000000,-1480.000000
218,-800.000000,-1520.000000
219,-1040.000000,-1560.000000
220,-1280.000000,-1560.000000
221,-1520.000000,-1600.000000
222,-1760.000000,-1600.000000
223,-2000.000000,-1600.000000
224,-2160.000000,-1560.000000
225,-2400.000000,-1560.000000
226,-2560.000000,-1560.000000
227,-2800.000000,-1520.000000
228,-2960.000000,-1480.000000
229,-3120.000000,-1440.000000
230,-3200.000000,-1400.000000
231,-3360.000000,-1360.000000
232,-3440.000000,-1320.000000
233,-3600.000000,-1240.000000
234,-3680.000000,-1200.000000
235,-3760.000000,-1120.000000
236,-3760.000000,-1040.000000
237,-3840.000000,-960.000000
238,-3840.000000,-880.000000
239,-3840.000000,-800.000000
240,-3840.000000,-720.000000
241,-3840.000000,-600.000000
242,-3760.000000,-520.000000
243,-3760.000000,-440.000000
244,-3680.000000,-360.000000
245,-3600.000000,-240.000000
246,-3520.000000,-120.000000
247,-3440.000000,-40.000000
248,-3280.000000,40.000000
249,-3120.000000,160.000000
250,-2960.000000,240.000000
251,-2880.000000,320.000000
252,-2640.000000,440.000000
253,-2480.000000,520.000000
254,-2320.000000,640.000000
255,-2080.000000,720.000000
256,-1920.000000,800.000000
257,-1680.000000,880.000000
258,-1440.000000,960.000000
259,-1280.000000,1000.000000
260,-1040.000000,1120.000000
261,-800.000000,1160.000000
262,-560.000000,1200.000000
263,-320.000000,1280.000000
264,-80.000000,1320.000000
265,160.000000,1360.000000
266,400.000000,1400.000000
267,640.000000,1440.000000
268,800.000000,1480.000000
269,1040.000000,1480.000000
270,1280.000000,1520.000000
271,1440.000000,1480.000000
272,1680.000000,1520.000000
273,1840.000000,1480.000000
274,2080.000000,1480.000000
275,2240.000000,1440.000000
276,2400.000000,1440.000000
277,2560.000000,1400.000000
278,2720.000000,1360.000000
279,2800.000000,1320.000000
280,2960.000000,1280.000000
281,3040.000000,1200.000000
282,3120.000000,1160.000000
283,3200.000000,1080.000000
284,3280.000000,1000.000000
285,3360.000000,960.000000
286,3440.000000,880.000000
287,3520.000000,800.000000
288,3520.000000,680.000000
289,3600.000000,600.000000
290,3600.000000,520.000000
291,3600.000000,440.000000
292,3600.000000,320.000000
293,3600.000000,240.000000
294,3520.000000,160.000000
295,3440.000000,40.000000
296,3360.000000,-40.000000
297,3280.000000,-120.000000
298,3120.000000,-240.000000
299,2960.000000,-320.000000
300,2720.000000,-400.000000
301,2560.000000,-520.000000
302,2320.000000,-600.000000
303,2160.000000,-680.000000
304,1920.000000,-800.000000
305,1680.000000,-880.000000
306,1440.000000,-960.000000
307,1200.000000,-1040.000000
308,960.000000,-1120.000000
309,720.000000,-1200.000000
310,480.000000,-1240.000000
311,240.000000,-1320.000000
312,0.000000,-1400.000000
313,-320.000000,-1440.000000
314,-560.000000,-1480.000000
315,-800.000000,-1520.000000
316,-1040.000000,-1560.000000
317,-1280.000000,-1600.000000
318,-1520.000000,-1640.000000
319,-1760.000000,-1640.000000
320,-2000.000000,-1640.000000
321,-2240.000000,-1680.000000
322,-2480.000000,-1680.000000
323,-2640.000000,-1680.000000
324,-2880.000000,-1640.000000
325,-3040.000000,-1640.000000
326,-3200.000000,-1600.000000
327,-3360.000000,-1560.000000
328,-3520.000000,-1520.000000
329,-3680.000000,-1480.000000
330,-3760.000000,-1400.000000
331,-3920.000000,-1360.000000
332,-4000.000000,-1280.000000
333,-4080.000000,-1240.000000
334,-4160.000000,-1160.000000
335,-4240.000000,-1080.000000
336,-4240.000000,-1000.000000
337,-4240.000000,-920.000000
338,-4240.000000,-840.000000
339,-4240.000000,-760.000000
340,-4240.000000,-640.000000
341,-4160.000000,-560.000000
342,-4080.000000,-440.000000
343,-4000.000000,-360.000000
344,-3920.000000,-240.000000
345,-3840.000000,-120.000000
346,-3680.000000,-40.000000
347,-3600.000000,80.000000
348,-3440.000000,200.000000
349,-3280.000000,280.000000
350,-3040.000000,400.000000
351,-2880.000000,480.000000
352,-2640.000000,600.000000
353,-2480.000000,680.000000
354,-2240.000000,760.000000
355,-2080.000000,880.000000
356,-1840.000000,960.000000
357,-1600.000000,1040.000000
358,-1360.000000,1120.000000
359,-1040.000000,1200.000000
360,-800.000000,1280.000000
361,-560.000000,1320.000000
362,-320.000000,1360.000000
363,-80.000000,1440.000000
364,160.000000,1480.000000
365,400.000000,1520.000000
366,640.000000,1560.000000
367,960.000000,1600.000000
368,1200.000000,1600.000000
369,1440.000000,1640.000000
370,1600.000000,1640.000000
371,1840.000000,1640.000000
372,2080.000000,1640.000000
373,2240.000000,1600.000000
374,2400.000000,1600.000000
375,2640.000000,1560.000000
376,2800.000000,1520.000000
377,2960.000000,1480.000000
378,3120.000000,1440.000000
379,3200.000000,1360.000000
380,3360.000000,1320.000000
381,3520.000000,1240.000000
382,3600.000000,1160.000000
383,3760.000000,1120.000000
384,3920.000000,1040.000000
385,4000.000000,960.000000
386,4160.000000,840.000000
387,4240.000000,760.000000
388,4400.000000,720.000000
389,4480.000000,600.000000
390,4560.000000,520.000000
391,4720.000000,440.000000
392,4800.000000,360.000000
393,4880.000000,240.000000
394,4880.000000,160.000000
395,4960.000000,80.000000
396,5040.000000,0.000000
397,5040.000000,-80.000000
398,5040.000000,-160.000000
399,5120.000000,-200.000000
400,5120.000000,-280.000000
401,5040.000000,-360.000000
402,5040.000000,-440.000000
403,5040.000000,-480.000000
404,4960.000000,-560.000000
405,4880.000000,-600.000000
406,4800.000000,-640.000000
407,4720.000000,-680.000000
408,4560.000000,-760.000000
409,4480.000000,-760.000000
410,4320.000000,-840.000000
411,4080.000000,-880.000000
412,3920.000000,-880.000000
413,3760.000000,-920.000000
414,3440.000000,-960.000000
415,3200.000000,-1000.000000
416,2880.000000,-1000.000000
417,2560.000000,-1040.000000
418,2320.000000,-1040.000000
419,2000.000000,-1080.000000
420,1760.000000,-1080.000000
421,1440.000000,-1120.000000
422,1200.000000,-1120.000000
423,960.000000,-1160.000000
424,720.000000,-1160.000000
425,480.000000,-1160.000000
426,240.000000,-1160.000000
427,0.000000,-1160.000000
428,-160.000000,-1160.000000
429,-400.000000,-1160.000000
430,-560.000000,-1160.000000
431,-800.000000,-1160.000000
432,-960.000000,-1120.000000
433,-1120.000000,-1120.000000
434,-1280.000000,-1120.000000
435,-1440.000000,-1080.000000
436,-1600.000000,-1040.000000
437,-1680.000000,-1000.000000
438,-1840.000000,-1000.000000
439,-1920.000000,-960.000000
440,-2080.000000,-920.000000
441,-2080.000000,-880.000000
442,-2240.000000,-800.000000
443,-2240.000000,-760.000000
444,-2320.000000,-720.000000
445,-2320.000000,-640.000000
446,-2400.000000,-600.000000
