Channel              :,CH1,CH2
Frequency            :,2.556KHz,2.556KHz
Period               :,0.391ms,0.391ms
PK-PK                :,9.760V,4.320V
Average              :,-100.3mV,-54.42mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
207,1760.000000,-1480.000000
208,1440.000000,-1560.000000
209,1200.000000,-1680.000000
210,880.000000,-1720.000000
211,560.000000,-1840.000000
212,240.000000,-1880.000000
213,-80.000000,-1960.000000
214,-400.000000,-2000.000000
215,-720.000000,-2040.000000
216,-960.000000,-2080.000000
217,-1280.000000,-2120.000000
218,-1600.000000,-2160.000000
219,-1920.000000,-2160.000000
220,-2160.000000,-2160.000000
221,-2480.000000,-2160.000000
222,-2720.000000,-2160.000000
223,-2960.000000,-2160.000000
224,-3200.000000,-2080.000000
225,-3440.000000,-2080.000000
226,-3600.000000,-2000.000000
227,-3840.000000,-1960.000000
228,-4000.000000,-1880.000000
229,-4160.000000,-1840.000000
230,-4320.000000,-1760.000000
231,-4400.000000,-1680.000000
232,-4560.000000,-1560.000000
233,-4640.000000,-1480.000000
234,-4720.000000,-1360.000000
235,-4800.000000,-1240.000000
236,-4960.000000,-1160.000000
237,-4960.000000,-1040.000000
238,-5040.000000,-920.000000
239,-5040.000000,-800.000000
240,-5120.000000,-680.000000
241,-5040.000000,-560.000000
242,-5040.000000,-400.000000
243,-4960.000000,-280.000000
244,-4880.000000,-160.000000
245,-4800.000000,-40.000000
246,-4640.000000,80.000000
247,-4480.000000,200.000000
248,-4240.000000,320.000000
249,-4000.000000,440.000000
250,-3760.000000,600.000000
251,-3520.000000,680.000000
252,-3200.000000,800.000000
253,-2960.000000,920.000000
254,-2640.000000,1040.000000
255,-2320.000000,1160.000000
256,-2000.000000,1280.000000
257,-1680.000000,1360.000000
258,-1360.000000,1440.000000
259,-960.000000,1600.000000
260,-640.000000,1640.000000
261,-320.000000,1720.000000
262,0.000000,1760.000000
263,320.000000,1840.000000
264,720.000000,1880.000000
265,1040.000000,1920.000000
266,1360.000000,1960.000000
267,1680.000000,2000.000000
268,2000.000000,2040.000000
269,2320.000000,2040.000000
270,2640.000000,2040.000000
271,2880.000000,2040.000000
272,3200.000000,2040.000000
273,3440.000000,2000.000000
274,3760.000000,1960.000000
275,4000.000000,1960.000000
276,4160.000000,1920.000000
277,4400.000000,1840.000000
278,4560.000000,1800.000000
279,4640.000000,1720.000000
280,4640.000000,1640.000000
281,4640.000000,1560.000000
282,4640.000000,1480.000000
283,4640.000000,1360.000000
284,4560.000000,1280.000000
285,4560.000000,1120.000000
286,4560.000000,1000.000000
287,4480.000000,880.000000
288,4480.000000,760.000000
289,4480.000000,600.000000
290,4400.000000,480.000000
291,4400.000000,320.000000
292,4320.000000,200.000000
293,4240.000000,40.000000
294,4160.000000,-80.000000
295,4000.000000,-240.000000
296,3840.000000,-360.000000
297,3680.000000,-520.000000
298,3440.000000,-640.000000
299,3280.000000,-800.000000
300,3040.000000,-880.000000
301,2800.000000,-1040.000000
302,2560.000000,-1120.000000
303,2240.000000,-1280.000000
304,2000.000000,-1360.000000
305,1680.000000,-1480.000000
306,1440.000000,-1560.000000
307,1120.000000,-1680.000000
308,800.000000,-1760.000000
309,480.000000,-1840.000000
310,160.000000,-1880.000000
311,-160.000000,-1960.000000
312,-480.000000,-2040.000000
313,-720.000000,-2080.000000
314,-1040.000000,-2120.000000
315,-1360.000000,-2120.000000
316,-1680.000000,-2160.000000
317,-1920.000000,-2160.000000
318,-2240.000000,-2160.000000
319,-2480.000000,-2160.000000
320,-2800.000000,-2160.000000
321,-3040.000000,-2120.000000
322,-3280.000000,-2080.000000
323,-3520.000000,-2080.000000
324,-3680.000000,-2000.000000
325,-3840.000000,-1920.000000
326,-4000.000000,-1880.000000
327,-4240.000000,-1800.000000
328,-4320.000000,-1720.000000
329,-4480.000000,-1640.000000
330,-4560.000000,-1560.000000
331,-4640.000000,-1440.000000
332,-4800.000000,-1360.000000
333,-4880.000000,-1240.000000
334,-4880.000000,-1120.000000
335,-4960.000000,-1040.000000
336,-5040.000000,-880.000000
337,-5040.000000,-760.000000
338,-5120.000000,-640.000000
339,-5120.000000,-520.000000
340,-5040.000000,-400.000000
341,-4960.000000,-280.000000
342,-4880.000000,-160.000000
343,-4720.000000,0.000000
344,-4640.000000,120.000000
345,-4400.000000,200.000000
346,-4240.000000,320.000000
347,-3920.000000,480.000000
348,-3680.000000,600.000000
349,-3440.000000,720.000000
350,-3120.000000,840.000000
351,-2880.000000,960.000000
352,-2560.000000,1040.000000
353,-2240.000000,1160.000000
354,-1920.000000,1280.000000
355,-1600.000000,1360.000000
356,-1280.000000,1480.000000
357,-960.000000,1560.000000
358,-560.000000,1640.000000
359,-240.000000,1720.000000
360,80.000000,1800.000000
361,400.000000,1840.000000
362,720.000000,1880.000000
363,1120.000000,1920.000000
364,1440.000000,2000.000000
365,1760.000000,2000.000000
366,2080.000000,2000.000000
367,2400.000000,2040.000000
368,2640.000000,2040.000000
369,2960.000000,2040.000000
370,3280.000000,2040.000000
371,3520.000000,2000.000000
372,3760.000000,1960.000000
373,4000.000000,1960.000000
374,4240.000000,1920.000000
375,4480.000000,1840.000000
376,4560.000000,1800.000000
377,4640.000000,1720.000000
378,4640.000000,1640.000000
379,4640.000000,1560.000000
380,4640.000000,1440.000000
381,4560.000000,1320.000000
382,4560.000000,1240.000000
383,4560.000000,1120.000000
384,4560.000000,1000.000000
385,4480.000000,840.000000
386,4480.000000,720.000000
387,4480.000000,600.000000
388,4400.000000,440.000000
389,4400.000000,280.000000
390,4320.000000,160.000000
391,4240.000000,40.000000
392,4080.000000,-120.000000
393,3920.000000,-280.000000
394,3760.000000,-400.000000
395,3600.000000,-520.000000
396,3440.000000,-680.000000
397,3200.000000,-800.000000
398,2960.000000,-960.000000
399,2720.000000,-1040.000000
400,2480.000000,-1160.000000
401,2240.000000,-1280.000000
402,1920.000000,-1400.000000
403,1600.000000,-1520.000000
404,1360.000000,-1600.000000
405,1040.000000,-1680.000000
406,720.000000,-1760.000000
407,400.000000,-1840.000000
408,80.000000,-1920.000000
409,-160.000000,-1960.000000
410,-480.000000,-2040.000000
411,-800.000000,-2080.000000
412,-1120.000000,-2120.000000
413,-1440.000000,-2160.000000
414,-1680.000000,-2160.000000
415,-2000.000000,-2160.000000
416,-2320.000000,-2160.000000
417,-2560.000000,-2160.000000
418,-2800.000000,-2120.000000
419,-3040.000000,-2120.000000
420,-3280.000000,-2080.000000
421,-3520.000000,-2000.000000
422,-3680.000000,-2000.000000
423,-3920.000000,-1920.000000
424,-4080.000000,-1880.000000
425,-4240.000000,-1800.000000
426,-4320.000000,-1720.000000
427,-4480.000000,-1600.000000
428,-4560.000000,-1520.000000
429,-4720.000000,-1440.000000
430,-4800.000000,-1320.000000
431,-4880.000000,-1200.000000
432,-4960.000000,-1080.000000
433,-5040.000000,-1000.000000
434,-5040.000000,-880.000000
