Channel              :,CH1,CH2
Frequency            :,300.3Hz,2.510KHz
Period               :,3.330ms,0.398ms
PK-PK                :,18.24V,3.720V
Average              :,-31.47mV,-64.03mV
Vertical pos         :,160.000000mV,0.000000mV
Probe attenuation    :,1X,1X
Voltage per ADC value:,1.250000mV,0.625000mV
Time interval        :,4.00000uS,4.00000uS

index,CH1_Voltage(mV),CH2_Voltage(mV)
210,-5200.000000,720.000000
211,-5120.000000,720.000000
212,-4960.000000,760.000000
213,-4800.000000,760.000000
214,-4720.000000,760.000000
215,-4560.000000,760.000000
216,-4480.000000,760.000000
217,-4400.000000,760.000000
218,-4320.000000,760.000000
219,-4160.000000,760.000000
220,-4080.000000,760.000000
221,-4000.000000,720.000000
222,-3920.000000,720.000000
223,-3840.000000,720.000000
224,-3760.000000,680.000000
225,-3760.000000,640.000000
226,-3680.000000,600.000000
227,-3680.000000,600.000000
228,-3600.000000,560.000000
229,-3600.000000,520.000000
230,-3600.000000,480.000000
231,-3600.000000,440.000000
232,-3600.000000,360.000000
233,-3600.000000,360.000000
234,-3600.000000,280.000000
235,-3600.000000,240.000000
236,-3600.000000,160.000000
237,-3680.000000,120.000000
238,-3760.000000,80.000000
239,-3760.000000,0.000000
240,-3840.000000,-40.000000
241,-3920.000000,-120.000000
242,-4000.000000,-160.000000
243,-4080.000000,-200.000000
244,-4160.000000,-280.000000
245,-4320.000000,-320.000000
246,-4400.000000,-400.000000
247,-4480.000000,-440.000000
248,-4640.000000,-480.000000
249,-4720.000000,-520.000000
250,-4880.000000,-600.000000
251,-4960.000000,-640.000000
252,-5120.000000,-680.000000
253,-5280.000000,-720.000000
254,-5360.000000,-760.000000
255,-5520.000000,-800.000000
256,-5680.000000,-840.000000
257,-5760.000000,-840.000000
258,-5920.000000,-880.000000
259,-6080.000000,-920.000000
260,-6240.000000,-920.000000
261,-6320.000000,-960.000000
262,-6480.000000,-960.000000
263,-6560.000000,-960.000000
264,-6720.000000,-960.000000
265,-6800.000000,-1000.000000
266,-6880.000000,-960.000000
267,-7040.000000,-960.000000
268,-7120.000000,-960.000000
269,-7200.000000,-960.000000
270,-7280.000000,-920.000000
271,-7360.000000,-920.000000
272,-7440.000000,-880.000000
273,-7520.000000,-840.000000
274,-7600.000000,-800.000000
275,-7680.000000,-800.000000
276,-7680.000000,-720.000000
277,-7680.000000,-680.000000
278,-7760.000000,-680.000000
279,-7760.000000,-600.000000
280,-7760.000000,-560.000000
281,-7760.000000,-520.000000
282,-7760.000000,-440.000000
283,-7680.000000,-400.000000
284,-7680.000000,-360.000000
285,-7600.000000,-280.000000
286,-7600.000000,-200.000000
287,-7520.000000,-160.000000
288,-7440.000000,-120.000000
289,-7360.000000,-40.000000
290,-7280.000000,40.000000
291,-7200.000000,80.000000
292,-7120.000000,160.000000
293,-6960.000000,200.000000
294,-6880.000000,280.000000
295,-6800.000000,320.000000
296,-6640.000000,360.000000
297,-6480.000000,440.000000
298,-6400.000000,520.000000
299,-6240.000000,520.000000
300,-6080.000000,600.000000
301,-6000.000000,640.000000
302,-5840.000000,680.000000
303,-5680.000000,720.000000
304,-5520.000000,760.000000
305,-5360.000000,800.000000
306,-5200.000000,840.000000
307,-5120.000000,840.000000
308,-4960.000000,880.000000
309,-4800.000000,880.000000
310,-4640.000000,920.000000
311,-4480.000000,920.000000
312,-4400.000000,920.000000
313,-4240.000000,920.000000
314,-4080.000000,920.000000
315,-4000.000000,920.000000
316,-3920.000000,920.000000
317,-3760.000000,880.000000
318,-3680.000000,880.000000
319,-3600.000000,840.000000
320,-3520.000000,840.000000
321,-3440.000000,800.000000
322,-3360.000000,760.000000
323,-3280.000000,720.000000
324,-3280.000000,680.000000
325,-3280.000000,640.000000
326,-3200.000000,600.000000
327,-3200.000000,560.000000
328,-3200.000000,480.000000
329,-3200.000000,440.000000
330,-3200.000000,400.000000
331,-3200.000000,320.000000
332,-3280.000000,240.000000
333,-3280.000000,200.000000
334,-3360.000000,120.000000
335,-3440.000000,80.000000
336,-3520.000000,0.000000
337,-3600.000000,-80.000000
338,-3680.000000,-120.000000
339,-3760.000000,-200.000000
340,-3840.000000,-280.000000
341,-4000.000000,-320.000000
342,-4080.000000,-400.000000
343,-4240.000000,-480.000000
344,-4400.000000,-560.000000
345,-4480.000000,-600.000000
346,-4640.000000,-640.000000
347,-4800.000000,-720.000000
348,-4960.000000,-760.000000
349,-5120.000000,-800.000000
350,-5280.000000,-880.000000
351,-5360.000000,-920.000000
352,-5520.000000,-960.000000
353,-5760.000000,-960.000000
354,-5920.000000,-1040.000000
355,-6080.000000,-1040.000000
356,-6160.000000,-1080.000000
357,-6400.000000,-1120.000000
358,-6560.000000,-1120.000000
359,-6640.000000,-1160.000000
360,-6880.000000,-1160.000000
361,-6960.000000,-1160.000000
362,-7120.000000,-1160.000000
363,-7200.000000,-1160.000000
